year,species_code,comp_type,iss_age,region
1990,10110,female,93.39076999729345,goa
1990,10110,male,36.6870283751171,goa
1990,10110,total,107.6064519208646,goa
1990,10130,female,35.03977570549243,goa
1990,10130,male,31.9020463113832,goa
1990,10130,total,70.2995696398953,goa
1990,10180,female,44.823321815792625,goa
1990,10180,male,26.95160485062777,goa
1990,10180,total,68.71310484034906,goa
1990,21720,female,77.98815299318834,goa
1990,21720,male,61.77339190497802,goa
1990,21720,total,100.08413073049542,goa
1990,21740,female,105.97503809255424,goa
1990,21740,male,78.16315949786237,goa
1990,21740,total,108.81891370559936,goa
1990,30060,female,104.86108809958864,goa
1990,30060,male,152.5410751785518,goa
1990,30060,total,153.47031167113633,goa
1990,30420,female,38.03059115211157,goa
1990,30420,male,30.9237386327647,goa
1990,30420,total,56.99725858040157,goa
1993,10110,female,242.1230245681369,goa
1993,10110,male,152.3304324900384,goa
1993,10110,total,363.8439893316203,goa
1993,10130,female,64.24500687436381,goa
1993,10130,male,42.08796394261067,goa
1993,10130,total,102.7799407946249,goa
1993,10180,female,57.91116894292909,goa
1993,10180,male,37.357469671160686,goa
1993,10180,total,89.68536404681106,goa
1993,21720,female,113.71060544892084,goa
1993,21720,male,109.5163080359274,goa
1993,21720,total,159.6366693217815,goa
1993,21740,female,179.94403232823834,goa
1993,21740,male,138.75175480186084,goa
1993,21740,total,190.2973749463976,goa
1993,30060,female,147.08395604219086,goa
1993,30060,male,166.76665531397924,goa
1993,30060,total,231.93671409244985,goa
1993,30420,female,22.819974677921262,goa
1993,30420,male,21.257490528807725,goa
1993,30420,total,45.14090481112036,goa
1996,10110,female,191.9964386700358,goa
1996,10110,male,112.75833961241509,goa
1996,10110,total,285.769675789012,goa
1996,10130,female,99.13590020235765,goa
1996,10130,male,66.49314111699822,goa
1996,10130,total,148.43251030448732,goa
1996,10180,female,83.65694437598412,goa
1996,10180,male,61.405036404839606,goa
1996,10180,total,139.68548975762894,goa
1996,20510,female,76.0430554113462,goa
1996,20510,male,72.31362881963112,goa
1996,20510,total,116.35714878192502,goa
1996,21720,female,57.47736187964373,goa
1996,21720,male,27.10771403130481,goa
1996,21720,total,42.30234492752035,goa
1996,21740,female,82.21031577232124,goa
1996,21740,male,52.76844000762481,goa
1996,21740,total,38.97489011895321,goa
1996,30060,female,73.15231797892788,goa
1996,30060,male,69.68858615564724,goa
1996,30060,total,108.24348598302224,goa
1996,30420,female,62.871039001294264,goa
1996,30420,male,72.29807510045603,goa
1996,30420,total,131.72508903956847,goa
1999,10110,female,247.718230372206,goa
1999,10110,male,168.4518096365565,goa
1999,10110,total,384.7965759902579,goa
1999,10130,female,112.99967155608552,goa
1999,10130,male,83.84652138063404,goa
1999,10130,total,161.86710092198308,goa
1999,10180,female,75.40675375681748,goa
1999,10180,male,54.36022476464079,goa
1999,10180,total,117.57295187374702,goa
1999,20510,female,72.71488672457066,goa
1999,20510,male,77.27519327408872,goa
1999,20510,total,107.1273274543437,goa
1999,21720,female,122.99767327285215,goa
1999,21720,male,114.0595499807427,goa
1999,21720,total,178.9712490650381,goa
1999,21740,female,116.65115401284756,goa
1999,21740,male,67.59036710717157,goa
1999,21740,total,105.6112146442475,goa
1999,30060,female,77.68936673318296,goa
1999,30060,male,78.18327904271474,goa
1999,30060,total,110.73052742509137,goa
1999,30420,female,34.304832176687036,goa
1999,30420,male,40.1173225744452,goa
1999,30420,total,60.654323891974315,goa
2001,10110,female,384.5809115537266,goa
2001,10110,male,235.07241387417608,goa
2001,10110,total,535.4596053470007,goa
2001,10130,female,155.40857931297674,goa
2001,10130,male,137.08139285698294,goa
2001,10130,total,258.4798372751164,goa
2001,10180,female,122.56775176751678,goa
2001,10180,male,79.76983629767989,goa
2001,10180,total,191.16119030992456,goa
2001,21720,female,104.5676569979354,goa
2001,21720,male,101.809234217644,goa
2001,21720,total,129.37433307578974,goa
2001,21740,female,39.71857481671231,goa
2001,21740,male,31.318230604976875,goa
2001,21740,total,32.80751763939113,goa
2001,30420,female,53.036737059354806,goa
2001,30420,male,55.41554117779181,goa
2001,30420,total,100.6010263154325,goa
2003,10110,female,196.1594029015586,goa
2003,10110,male,162.1278898446176,goa
2003,10110,total,288.36986796999753,goa
2003,10130,female,96.54130390724588,goa
2003,10130,male,103.72656189146096,goa
2003,10130,total,197.2728090744862,goa
2003,10180,female,113.05613730585686,goa
2003,10180,male,82.71395837372438,goa
2003,10180,total,165.0120841281629,goa
2003,21720,female,148.60597921293376,goa
2003,21720,male,121.03650554089393,goa
2003,21720,total,213.89800874430088,goa
2003,21740,female,156.7237926786159,goa
2003,21740,male,133.2465889405253,goa
2003,21740,total,177.47825137660567,goa
2003,30060,female,161.42051504551395,goa
2003,30060,male,154.7643449898504,goa
2003,30060,total,253.3076435100085,goa
2003,30420,female,19.581411879024888,goa
2003,30420,male,25.09074101128459,goa
2003,30420,total,42.78841823744039,goa
2005,10110,female,180.77128727897903,goa
2005,10110,male,140.60861100277,goa
2005,10110,total,294.25623219545474,goa
2005,10130,female,101.78050352058028,goa
2005,10130,male,77.40452041730757,goa
2005,10130,total,155.77132597869814,goa
2005,10180,female,123.4559994881606,goa
2005,10180,male,91.46297841947312,goa
2005,10180,total,190.36450887311213,goa
2005,21720,female,62.341003099584896,goa
2005,21720,male,69.71960615719597,goa
2005,21720,total,87.13941535695837,goa
2005,21740,female,190.67505166641183,goa
2005,21740,male,142.4499667111112,goa
2005,21740,total,75.28839400911609,goa
2005,30060,female,169.31071121435218,goa
2005,30060,male,170.59077515894438,goa
