year,species_code,comp_type,iss,err_src,region
1990,10110,age,86.96330319752091,all,goa
1990,10110,age,34.681538470565215,all,goa
1990,10110,age,104.130821913648,all,goa
1990,10130,age,34.248453723843994,all,goa
1990,10130,age,25.62902295399064,all,goa
1990,10130,age,66.64620118553107,all,goa
1990,10180,age,45.57189254996625,all,goa
1990,10180,age,26.47788429837296,all,goa
1990,10180,age,69.88273578799142,all,goa
1990,21720,age,78.2835802123333,all,goa
1990,21720,age,63.561546530648315,all,goa
1990,21720,age,101.37187121533422,all,goa
1990,21740,age,103.268514553191,all,goa
1990,21740,age,75.54808936908486,all,goa
1990,21740,age,103.91618246862969,all,goa
1990,30060,age,94.8083902841707,all,goa
1990,30060,age,150.62930491175345,all,goa
1990,30060,age,144.85584299212164,all,goa
1990,30420,age,40.248854146482635,all,goa
1990,30420,age,28.05454706972179,all,goa
1990,30420,age,55.6574671983855,all,goa
1993,10110,age,235.22454483278497,all,goa
1993,10110,age,152.8893902439593,all,goa
1993,10110,age,354.1319239403358,all,goa
1993,10130,age,61.93459904687313,all,goa
1993,10130,age,41.09747593990895,all,goa
1993,10130,age,103.4286770833087,all,goa
1993,10180,age,54.90805315528552,all,goa
1993,10180,age,34.54183211254648,all,goa
1993,10180,age,85.60556634654654,all,goa
1993,21720,age,116.14451939962844,all,goa
1993,21720,age,106.4785232097741,all,goa
1993,21720,age,153.61389039714263,all,goa
1993,21740,age,178.73777999472696,all,goa
1993,21740,age,134.59322900827578,all,goa
1993,21740,age,181.03196286756489,all,goa
1993,30060,age,151.20064000108917,all,goa
1993,30060,age,167.81224126319194,all,goa
1993,30060,age,239.19744271190308,all,goa
1993,30420,age,22.55678704058127,all,goa
1993,30420,age,18.836352165732055,all,goa
1993,30420,age,44.09611549490618,all,goa
1996,10110,age,190.44942568009503,all,goa
1996,10110,age,106.14529361710952,all,goa
1996,10110,age,277.95661166630094,all,goa
1996,10130,age,97.51915380291224,all,goa
1996,10130,age,63.7758393333443,all,goa
1996,10130,age,146.39668282190115,all,goa
1996,10180,age,79.38364398725929,all,goa
1996,10180,age,57.51559891681813,all,goa
1996,10180,age,132.94679951959571,all,goa
1996,20510,age,72.68220872952601,all,goa
1996,20510,age,71.83899355543409,all,goa
1996,20510,age,113.3626573240048,all,goa
1996,21720,age,58.09094361019043,all,goa
1996,21720,age,26.54599985003241,all,goa
1996,21720,age,41.961317725470515,all,goa
1996,21740,age,85.37725592920658,all,goa
1996,21740,age,53.392797365770726,all,goa
1996,21740,age,40.25650521794432,all,goa
1996,30060,age,70.8788125936901,all,goa
1996,30060,age,70.74515121337343,all,goa
1996,30060,age,108.2355563890826,all,goa
1996,30420,age,63.1273487920612,all,goa
1996,30420,age,75.65058728479855,all,goa
1996,30420,age,134.70007364413888,all,goa
1999,10110,age,237.8558180970354,all,goa
1999,10110,age,160.0108113303876,all,goa
1999,10110,age,365.7399847644083,all,goa
1999,10130,age,117.09655323871053,all,goa
1999,10130,age,87.87660332532208,all,goa
1999,10130,age,173.53320798310978,all,goa
1999,10180,age,73.91295267098349,all,goa
1999,10180,age,54.98001287806428,all,goa
1999,10180,age,119.74206563299542,all,goa
1999,20510,age,69.11724725077283,all,goa
1999,20510,age,77.5566135756507,all,goa
1999,20510,age,106.45861815596926,all,goa
1999,21720,age,119.01877421154003,all,goa
1999,21720,age,107.94239597198548,all,goa
1999,21720,age,170.3903810660716,all,goa
1999,21740,age,111.73031197298108,all,goa
1999,21740,age,63.45104927999433,all,goa
1999,21740,age,100.33069025620657,all,goa
1999,30060,age,78.24058371260716,all,goa
1999,30060,age,75.48881926211698,all,goa
1999,30060,age,110.31146557233548,all,goa
1999,30420,age,33.136701390373084,all,goa
1999,30420,age,38.6815809053898,all,goa
1999,30420,age,59.33902168662383,all,goa
2001,10110,age,378.80680365563546,all,goa
2001,10110,age,241.6268346000769,all,goa
2001,10110,age,539.4967204597784,all,goa
2001,10130,age,145.74251891475518,all,goa
2001,10130,age,143.0593653722175,all,goa
2001,10130,age,261.8199614573116,all,goa
2001,10180,age,120.1440847938356,all,goa
2001,10180,age,80.96170224547176,all,goa
2001,10180,age,192.89264542325935,all,goa
2001,21720,age,105.25160520822864,all,goa
2001,21720,age,99.22217728212873,all,goa
2001,21720,age,129.81951284368864,all,goa
2001,21740,age,37.71611431524862,all,goa
2001,21740,age,27.694266239587808,all,goa
2001,21740,age,34.70269427378913,all,goa
2001,30420,age,56.841060856682056,all,goa
2001,30420,age,55.29178641358315,all,goa
2001,30420,age,102.47745650018544,all,goa
2003,10110,age,196.9901251344361,all,goa
2003,10110,age,154.89830716247246,all,goa
2003,10110,age,285.90608127916084,all,goa
2003,10130,age,96.68175799929668,all,goa
2003,10130,age,102.79038037749602,all,goa
2003,10130,age,195.58008465792423,all,goa
2003,10180,age,113.46220879859273,all,goa
2003,10180,age,81.54215161636323,all,goa
2003,10180,age,166.48344300010885,all,goa
2003,21720,age,139.78619649401512,all,goa
2003,21720,age,118.09191847349824,all,goa
2003,21720,age,200.52008250688104,all,goa
2003,21740,age,151.2333065451457,all,goa
2003,21740,age,127.77661075533756,all,goa
2003,21740,age,175.8128426567723,all,goa
2003,30060,age,153.52160582231875,all,goa
2003,30060,age,150.63204820866142,all,goa
2003,30060,age,246.74324097614377,all,goa
2003,30420,age,18.123760180007547,all,goa
2003,30420,age,24.842665824403305,all,goa
2003,30420,age,42.970011242106736,all,goa
2005,10110,age,180.43068840581216,all,goa
2005,10110,age,140.64693950939417,all,goa
2005,10110,age,293.18870160957016,all,goa
2005,10130,age,100.44616550558555,all,goa
2005,10130,age,76.89561845779195,all,goa
2005,10130,age,156.69034131925534,all,goa
2005,10180,age,124.26825775319143,all,goa
2005,10180,age,89.2874708766058,all,goa
2005,10180,age,191.35979766689545,all,goa
2005,21720,age,61.12464742821883,all,goa
2005,21720,age,66.92965008311977,all,goa
2005,21720,age,85.07700955122075,all,goa
2005,21740,age,192.023715340556,all,goa
2005,21740,age,141.27238520582011,all,goa
2005,21740,age,76.27628038118239,all,goa
2005,30060,age,165.2735103237923,all,goa
2005,30060,age,169.87371736658363,all,goa
2005,30060,age,277.0631978476525,all,goa
2005,30420,age,36.46929763696489,all,goa
2005,30420,age,50.97975954232444,all,goa
2005,30420,age,70.38725560744443,all,goa
2007,10110,age,186.64297955782223,all,goa
2007,10110,age,128.63312776114057,all,goa
2007,10110,age,294.20940317033944,all,goa
2007,10130,age,169.969989383823,all,goa
2007,10130,age,122.97934133620964,all,goa
2007,10130,age,275.72833751128974,all,goa
2007,10180,age,88.35828848580427,all,goa
2007,10180,age,80.93905497885027,all,goa
2007,10180,age,158.4991351998047,all,goa
2007,21720,age,34.108250083917504,all,goa
2007,21720,age,38.62772645078015,all,goa
2007,21720,age,41.24433821893186,all,goa
2007,21740,age,83.98565678698506,all,goa
2007,21740,age,83.57880586389813,all,goa
2007,21740,age,95.82495430598722,all,goa
2007,30060,age,167.5739093312378,all,goa
2007,30060,age,148.94950499811694,all,goa
2007,30060,age,279.9741041434336,all,goa
2007,30420,age,118.3629921101401,all,goa
2007,30420,age,100.76042550098953,all,goa
2007,30420,age,193.56797227974775,all,goa
2009,10110,age,193.0486319725839,all,goa
2009,10110,age,149.82520468992865,all,goa
2009,10110,age,290.6243264927855,all,goa
