year,species_code,comp_type,iss_age,iss_length,region
1990,10110,female,93.39076999729345,2681.0075605307743,goa
1990,10110,male,36.6870283751171,1617.6205280514484,goa
1990,10110,total,107.6064519208646,3648.1819956278255,goa
1990,10130,female,35.03977570549243,1121.8680529217395,goa
1990,10130,male,31.9020463113832,935.1789536038176,goa
1990,10130,total,70.2995696398953,1731.0722530571195,goa
1990,10180,female,44.823321815792625,535.7315129212855,goa
1990,10180,male,26.95160485062777,242.5012232653287,goa
1990,10180,total,68.71310484034906,630.0085498423824,goa
1990,21720,female,77.98815299318834,467.1517096045219,goa
1990,21720,male,61.77339190497802,401.65193248082016,goa
1990,21720,total,100.08413073049542,568.6420811378662,goa
1990,21740,female,105.97503809255424,680.8390040295832,goa
1990,21740,male,78.16315949786237,470.4660645075697,goa
1990,21740,total,108.81891370559936,460.10215881770625,goa
1990,30060,female,104.86108809958864,134.7922968752336,goa
1990,30060,male,152.5410751785518,217.24201214504424,goa
1990,30060,total,153.47031167113633,224.48834923500857,goa
1990,30420,female,38.03059115211157,62.586928410364855,goa
1990,30420,male,30.9237386327647,70.94342878280861,goa
1990,30420,total,56.99725858040157,93.80048296287752,goa
1993,10110,female,242.1230245681369,5650.255678607111,goa
1993,10110,male,152.3304324900384,2397.0390609175984,goa
1993,10110,total,363.8439893316203,7158.260089356176,goa
1993,10130,female,64.24500687436381,1129.8918298600229,goa
1993,10130,male,42.08796394261067,899.2545267314198,goa
1993,10130,total,102.7799407946249,2086.339841710156,goa
1993,10180,female,57.91116894292909,1101.5594349154867,goa
1993,10180,male,37.357469671160686,1052.301666163995,goa
1993,10180,total,89.68536404681106,1997.8984273740211,goa
1993,21720,female,113.71060544892084,660.1948877926601,goa
1993,21720,male,109.5163080359274,608.1836102833511,goa
1993,21720,total,159.6366693217815,951.5239026935149,goa
1993,21740,female,179.94403232823834,675.7237676924485,goa
1993,21740,male,138.75175480186084,486.428819201128,goa
1993,21740,total,190.2973749463976,880.0342494088227,goa
1993,30060,female,147.08395604219086,224.89318743521133,goa
1993,30060,male,166.76665531397924,269.5318287902479,goa
1993,30060,total,231.93671409244985,302.79236465155986,goa
1993,30420,female,22.819974677921262,99.59397670089442,goa
1993,30420,male,21.257490528807725,151.8547282493613,goa
1993,30420,total,45.14090481112036,180.670142716195,goa
1996,10110,female,191.9964386700358,5231.854249833135,goa
1996,10110,male,112.75833961241509,2108.408882837391,goa
1996,10110,total,285.769675789012,6102.81233327454,goa
1996,10130,female,99.13590020235765,1724.9071719149156,goa
1996,10130,male,66.49314111699822,1415.599465807013,goa
1996,10130,total,148.43251030448732,2928.0593603672146,goa
1996,10180,female,83.65694437598412,1026.3894119325782,goa
1996,10180,male,61.405036404839606,992.1292392068116,goa
1996,10180,total,139.68548975762894,1751.97959154493,goa
1996,20510,female,76.0430554113462,378.5191745038898,goa
1996,20510,male,72.31362881963112,593.6865501833713,goa
1996,20510,total,116.35714878192502,712.9583785901939,goa
1996,21720,female,57.47736187964373,373.21142277710675,goa
1996,21720,male,27.10771403130481,187.23818322574152,goa
1996,21720,total,42.30234492752035,303.3969224807585,goa
1996,21740,female,82.21031577232124,345.4097671322697,goa
1996,21740,male,52.76844000762481,264.891286822598,goa
1996,21740,total,38.97489011895321,123.16602023796298,goa
1996,30060,female,73.15231797892788,211.73287749939365,goa
1996,30060,male,69.68858615564724,174.15829075689794,goa
1996,30060,total,108.24348598302224,237.8482202193533,goa
1996,30420,female,62.871039001294264,97.1383898953455,goa
1996,30420,male,72.29807510045603,129.73346098857834,goa
1996,30420,total,131.72508903956847,188.15882959440785,goa
1999,10110,female,247.718230372206,5274.954111982666,goa
1999,10110,male,168.4518096365565,2709.702036979368,goa
1999,10110,total,384.7965759902579,6866.050051339366,goa
1999,10130,female,112.99967155608552,1498.444104432325,goa
1999,10130,male,83.84652138063404,1330.568561101776,goa
1999,10130,total,161.86710092198308,2487.04531643121,goa
1999,10180,female,75.40675375681748,973.73958211353,goa
1999,10180,male,54.36022476464079,943.09443705707,goa
1999,10180,total,117.57295187374702,1674.0332390903418,goa
1999,20510,female,72.71488672457066,593.2790915999586,goa
1999,20510,male,77.27519327408872,761.7147145558928,goa
1999,20510,total,107.1273274543437,990.1486132655574,goa
1999,21720,female,122.99767327285215,1083.2809303589788,goa
1999,21720,male,114.0595499807427,992.3431809632856,goa
1999,21720,total,178.9712490650381,1473.0273967766072,goa
1999,21740,female,116.65115401284756,538.5023730767839,goa
1999,21740,male,67.59036710717157,247.9362526040343,goa
1999,21740,total,105.6112146442475,443.8533880138433,goa
1999,30060,female,77.68936673318296,166.08307882404097,goa
1999,30060,male,78.18327904271474,111.11538249595309,goa
1999,30060,total,110.73052742509137,204.58110932256884,goa
1999,30420,female,34.304832176687036,71.83212301913296,goa
1999,30420,male,40.1173225744452,85.23404185972815,goa
1999,30420,total,60.654323891974315,160.66260487002452,goa
2001,10110,female,384.5809115537266,2845.44354673278,goa
2001,10110,male,235.07241387417608,1358.4139140732882,goa
2001,10110,total,535.4596053470007,3511.744896192818,goa
2001,10130,female,155.40857931297674,1305.0428074908368,goa
2001,10130,male,137.08139285698294,1003.0622035418644,goa
2001,10130,total,258.4798372751164,2117.4180205043835,goa
2001,10180,female,122.56775176751678,368.95228139194035,goa
2001,10180,male,79.76983629767989,342.79735705975986,goa
2001,10180,total,191.16119030992456,660.1603729192894,goa
2001,21720,female,104.5676569979354,573.4044930799042,goa
2001,21720,male,101.809234217644,526.5218565506501,goa
2001,21720,total,129.37433307578974,770.9585815617424,goa
2001,21740,female,39.71857481671231,87.987600963393,goa
2001,21740,male,31.318230604976875,92.63458140108555,goa
2001,21740,total,32.80751763939113,99.0967230775962,goa
2001,30420,female,53.036737059354806,79.21865336074215,goa
2001,30420,male,55.41554117779181,142.44358327572215,goa
2001,30420,total,100.6010263154325,159.8625385972839,goa
2003,10110,female,196.1594029015586,2230.8489082706405,goa
2003,10110,male,162.1278898446176,1213.1479781837447,goa
2003,10110,total,288.36986796999753,2647.1202904173306,goa
2003,10130,female,96.54130390724588,2407.53878300987,goa
2003,10130,male,103.72656189146096,1996.536366370795,goa
2003,10130,total,197.2728090744862,3736.840162082519,goa
2003,10180,female,113.05613730585686,488.385500918869,goa
2003,10180,male,82.71395837372438,538.7247241611117,goa
2003,10180,total,165.0120841281629,769.7639378974101,goa
2003,21720,female,148.60597921293376,1041.7709052196792,goa
2003,21720,male,121.03650554089393,1135.010761298107,goa
2003,21720,total,213.89800874430088,1716.4486646547568,goa
2003,21740,female,156.7237926786159,840.3745820844471,goa
2003,21740,male,133.2465889405253,756.4192820755816,goa
2003,21740,total,177.47825137660567,897.6245673061612,goa
2003,30060,female,161.42051504551395,369.7324110368071,goa
2003,30060,male,154.7643449898504,395.1136941988365,goa
2003,30060,total,253.3076435100085,500.85985261521773,goa
2003,30420,female,19.581411879024888,151.62792548789875,goa
2003,30420,male,25.09074101128459,155.5456172539911,goa
2003,30420,total,42.78841823744039,246.41994586753415,goa
2005,10110,female,180.77128727897903,5471.624294135425,goa
2005,10110,male,140.60861100277,2377.383300842548,goa
2005,10110,total,294.25623219545474,6642.78689295412,goa
2005,10130,female,101.78050352058028,2374.8647000738993,goa
2005,10130,male,77.40452041730757,1804.0518982627527,goa
2005,10130,total,155.77132597869814,3420.307268397856,goa
2005,10180,female,123.4559994881606,879.4805317106807,goa
2005,10180,male,91.46297841947312,1056.8754784176351,goa
2005,10180,total,190.36450887311213,1820.23565379342,goa
2005,21720,female,62.341003099584896,381.19231260147853,goa
2005,21720,male,69.71960615719597,417.962836803267,goa
2005,21720,total,87.13941535695837,514.9503145676039,goa
2005,21740,female,190.67505166641183,862.1795055617115,goa
2005,21740,male,142.4499667111112,692.9345751017537,goa
2005,21740,total,75.28839400911609,382.47848772962135,goa
2005,30060,female,169.31071121435218,496.4602820035251,goa
2005,30060,male,170.59077515894438,496.5640758836939,goa
2005,30060,total,280.9493596660574,640.9307242435183,goa
2005,30420,female,38.88409477359707,25.572609397521635,goa
2005,30420,male,50.01244844244861,96.2141953554999,goa
2005,30420,total,72.22296540162301,51.63881865349793,goa
2007,10110,female,181.71112885006085,4627.118454790373,goa
2007,10110,male,126.78629693629192,1904.1449993424517,goa
2007,10110,total,290.99851244140535,5192.416452755714,goa
2007,10130,female,167.81329212647125,2042.6289738071791,goa
2007,10130,male,120.78713584914114,1419.4778066123213,goa
2007,10130,total,265.2666798067069,2794.7425241630135,goa
2007,10180,female,86.52067224358298,658.903550427217,goa
2007,10180,male,79.92619285347122,790.7645657794401,goa
2007,10180,total,154.76359175421814,1342.094007075198,goa
2007,21720,female,34.18773231400147,343.2068313114231,goa
2007,21720,male,39.5516621860242,382.3053125719434,goa
2007,21720,total,41.22857390455576,437.44317891884265,goa
2007,21740,female,81.61632574110577,354.0680186281658,goa
2007,21740,male,86.61429862168895,343.016033991104,goa
2007,21740,total,96.84890532862444,435.611357141778,goa
2007,30060,female,174.67950795957682,414.2407293757424,goa
2007,30060,male,153.07528643751917,407.640617273372,goa
2007,30060,total,292.6179845581822,495.7777718004667,goa
2007,30420,female,118.60078936730766,223.57870026356753,goa
2007,30420,male,100.73956610015831,167.6730057913622,goa
2007,30420,total,194.91626107869,264.5589633460334,goa
2009,10110,female,193.52088921562657,2724.3153199186277,goa
2009,10110,male,153.1929511379338,1530.1081569812156,goa
2009,10110,total,301.19802299785584,3070.9530227392465,goa
2009,10130,female,143.84901497287942,930.669747788806,goa
2009,10130,male,116.6166741965859,1053.1832226417762,goa
2009,10130,total,236.10742958128765,1681.7114745296867,goa
2009,10180,female,119.06060993270574,867.6017743058252,goa
2009,10180,male,93.12933740588028,932.297528449032,goa
2009,10180,total,197.52171289604027,1694.0686809286342,goa
2009,21720,female,76.98908788243284,486.637281591194,goa
2009,21720,male,68.12559438609317,458.17896602194776,goa
2009,21720,total,14.938110976339154,107.78874521239626,goa
2009,21740,female,106.31442916681164,448.0452829515669,goa
2009,21740,male,91.07273379891204,344.27059183144763,goa
2009,21740,total,70.71800361871819,394.3018055564031,goa
2009,30060,female,60.22855302150652,503.6373076789168,goa
2009,30060,male,43.918798395220506,527.6698991767208,goa
2009,30060,total,93.00579487079594,672.1726027326939,goa
2009,30420,female,117.74113781845396,164.34306574344637,goa
2009,30420,male,115.65597854112914,200.21606744919092,goa
2009,30420,total,210.43993108735535,317.837274743647,goa
2011,10110,female,179.79737588065606,3004.1978299889847,goa
2011,10110,male,141.59806620958486,1659.3544171546969,goa
2011,10110,total,292.7397510337186,3836.1845186118826,goa
2011,10130,female,121.43424013595848,857.7235229241481,goa
2011,10130,male,70.58103028025079,502.70647352756527,goa
2011,10130,total,162.7284341710478,990.4033472698828,goa
2011,10180,female,106.15675943961132,697.120729629084,goa
2011,10180,male,78.23937575214836,707.5496130422381,goa
2011,10180,total,164.92275522122463,1297.5872349831102,goa
2011,21720,female,96.20223093189796,502.79589562775936,goa
2011,21720,male,109.73947908017172,581.1049669618781,goa
2011,21720,total,133.9074110720396,696.3469066849729,goa
2011,21740,female,112.02070251406964,458.6891192449935,goa
2011,21740,male,86.3492180967125,364.4349128671343,goa
2011,21740,total,113.10280820691348,471.3219336704884,goa
2011,30060,female,121.49995144933575,294.6414775261568,goa
2011,30060,male,127.4667894620344,296.1965495843496,goa
2011,30060,total,188.6146158623692,354.60840983034507,goa
2011,30420,female,80.09164478850074,153.38114389394562,goa
2011,30420,male,57.52346452946711,140.29887674626067,goa
2011,30420,total,126.25104356307028,342.49320425013195,goa
2013,10110,female,181.0650916240932,1924.0418587740096,goa
2013,10110,male,124.64267931442254,1180.8818862084902,goa
2013,10110,total,281.416629933087,2583.180079935491,goa
2013,10130,female,112.4462839584356,1547.047666484346,goa
2013,10130,male,86.02715796663189,780.4867881224031,goa
2013,10130,total,195.4635500067827,1780.2536999845763,goa
2013,10180,female,85.3137433498292,404.0926104957421,goa
2013,10180,male,81.75578855188603,324.66334599004375,goa
2013,10180,total,158.99431542627195,569.3216377838407,goa
2013,21720,female,77.04073644221654,432.23082563088633,goa
2013,21720,male,54.938075701845094,368.8148062584109,goa
2013,21720,total,71.9053626717039,490.743126302592,goa
2013,21740,female,66.35058352897738,161.05630186208862,goa
2013,21740,male,64.44808148465532,147.1864010773462,goa
2013,21740,total,69.95338921770333,168.29886782868914,goa
2013,30060,female,153.4945910225871,436.6370624960275,goa
2013,30060,male,137.7488675875441,492.6552113421613,goa
2013,30060,total,247.32153168619817,662.2817471233406,goa
2013,30420,female,92.83779719049032,88.69967787512653,goa
2013,30420,male,78.92407965802362,82.62874846410013,goa
2013,30420,total,158.7598542614884,137.69219117833987,goa
2015,10110,female,153.13250818866976,3452.7594949126133,goa
2015,10110,male,101.36715390327927,1509.7792608680447,goa
2015,10110,total,235.8993830207209,4009.8464726972234,goa
2015,10130,female,193.76629096836103,2182.117911996548,goa
2015,10130,male,147.69800099175578,1729.656985229488,goa
2015,10130,total,319.0239262549269,3387.182416145757,goa
2015,10180,female,98.80111569681216,449.3112149392932,goa
2015,10180,male,82.59029908401672,509.8330466819671,goa
2015,10180,total,170.19880153134443,855.2965828633202,goa
2015,21720,female,107.19864256096514,1140.9555350964802,goa
2015,21720,male,104.2909174909794,1157.3050109472558,goa
2015,21720,total,141.5500697032133,1593.8247012835525,goa
2015,21740,female,105.15563044025905,458.1252496074474,goa
2015,21740,male,85.3269005900065,372.8695926585161,goa
2015,21740,total,109.54398839052855,478.4225350118658,goa
2015,30060,female,131.29838591915487,481.4763398566501,goa
2015,30060,male,134.99763266528947,523.2904338728187,goa
2015,30060,total,228.54306252405536,651.841323185328,goa
2015,30420,female,103.3759758466478,176.47223178800988,goa
2015,30420,male,67.41077969273793,97.72005181299996,goa
2015,30420,total,158.62028233620435,243.17505825346333,goa
2017,10110,female,362.2486956561283,2716.00362787297,goa
2017,10110,male,141.07549826411528,1448.6449633878788,goa
2017,10110,total,472.8377445884475,3749.6530913029865,goa
2017,10130,female,84.65360326638498,1282.5870826810958,goa
2017,10130,male,91.3494206447686,1057.1590001189722,goa
2017,10130,total,169.99574701554735,1928.1033209168831,goa
2017,10180,female,73.13792205594686,379.4197368377642,goa
2017,10180,male,89.01544610668451,331.92211866144146,goa
2017,10180,total,156.93230693472302,664.3685816082582,goa
2017,21720,female,63.63748099385731,471.1322639502266,goa
2017,21720,male,54.378336023644785,383.03946683758494,goa
2017,21720,total,94.88629510745886,717.6611921937058,goa
2017,21740,female,13.573235089929298,74.01050464354881,goa
2017,21740,male,15.985584839936095,74.59364238867452,goa
2017,21740,total,16.499679843682564,94.74086905173117,goa
2017,30060,female,170.11640894726008,291.66253366238783,goa
2017,30060,male,153.99267234328357,242.3391366166742,goa
2017,30060,total,277.1045330208324,392.28702321876335,goa
2017,30420,female,94.56216319523158,94.02810040318974,goa
2017,30420,male,79.0700281249611,171.8849606611737,goa
2017,30420,total,161.6451777049415,192.88803513608113,goa
2019,10110,female,369.2088892318544,4399.241920320955,goa
2019,10110,male,215.0217983097333,2606.3104527069786,goa
2019,10110,total,541.5936372958786,5780.337007480862,goa
2019,10130,female,71.10212059114727,936.5415397383824,goa
2019,10130,male,75.63676655859989,688.8161802656939,goa
2019,10130,total,136.21664128344435,1190.9061853749613,goa
2019,10180,female,67.31351110632446,419.5789117420519,goa
2019,10180,male,74.95894400441661,454.21596387326815,goa
2019,10180,total,136.91997253880146,781.6039148719276,goa
2019,21720,female,46.14026545112142,251.84990162443447,goa
2019,21720,male,50.2552513418703,264.4470731438029,goa
2019,21720,total,59.467200852898515,345.68022276100555,goa
2019,21740,female,98.74971180235086,431.5401134125756,goa
2019,21740,male,81.0714799161424,279.0613652462804,goa
2019,21740,total,80.19612533749664,330.6986672483576,goa
