year,species_code,comp_type,ae,ae_al,al,base,region
1990,10110,female,90.16657088719192,91.40590916179522,68.74152746384163,87.03207046372528,goa
1990,10110,male,33.614103005522054,23.605690676378888,18.580787784013424,35.37623336903119,goa
1990,10110,total,120.4890498803958,119.65913327388392,80.24868524724505,104.51433815643202,goa
1993,10110,female,159.83690732646443,126.77515288333367,138.8693213649323,259.2643724345616,goa
1993,10110,male,99.21345858909832,69.81247762087574,75.68978714720998,152.37900374284288,goa
1993,10110,total,224.897052220844,171.0848354586244,238.8570530271541,388.98687868954136,goa
1996,10110,female,124.12204548161814,96.01668474585745,91.95278004017364,194.4538435071591,goa
1996,10110,male,85.87724528344636,70.55737653126076,78.39208154855382,114.58427662335636,goa
1996,10110,total,198.63494782374343,154.22503923020213,166.38180697319663,285.78844037424165,goa
1999,10110,female,229.85986966734487,185.4766209049148,132.06231548004678,238.7515484649041,goa
1999,10110,male,150.20534321200083,106.07385690162276,103.52306636034557,160.61085231037106,goa
1999,10110,total,308.5027522852851,290.4364505324673,276.4235248223336,369.9746625071399,goa
2001,10110,female,260.5062845016325,186.92010283891724,202.988121197187,383.0784840490123,goa
2001,10110,male,195.16642880683287,88.7655719589395,99.70247688621654,237.430657964302,goa
2001,10110,total,347.51432095716746,228.4236593682536,310.7529148946062,548.9995484488155,goa
2003,10110,female,221.18416717479363,170.6197183156834,140.08969079507216,197.7725883900878,goa
2003,10110,male,130.04025256448594,101.91262143527749,118.87113983357564,161.9454523124183,goa
2003,10110,total,282.72881258221975,238.00745537580585,236.92436891709008,295.733525911882,goa
2005,10110,female,134.7953559874046,68.57940787788677,79.8480954035233,177.4311121675668,goa
2005,10110,male,63.332183699274275,45.29843641813997,79.47316133448591,137.44418792100447,goa
2005,10110,total,204.7698127412451,92.06761719311534,118.7217258013548,287.6179047175374,goa
2007,10110,female,126.24265202537627,107.03627466781155,130.0564826924082,191.88631298004827,goa
2007,10110,male,109.63212162958392,55.30377216583664,57.42923661668667,126.81020486734091,goa
2007,10110,total,183.9110098799256,129.96946357773396,177.3878899070534,299.11215179407355,goa
2009,10110,female,159.9093061093822,132.99014339523077,142.92465105742878,186.96635225310757,goa
2009,10110,male,132.13978863862312,80.63695737380792,83.48487990779029,145.28339367177446,goa
2009,10110,total,229.05806564739277,169.39901078093402,218.58176157053776,280.6195532940528,goa
2011,10110,female,143.1476579346427,128.54121199643672,149.49843428931916,183.3430244497279,goa
2011,10110,male,103.59682424400486,56.65006558210298,64.14977866308062,138.96569530925294,goa
2011,10110,total,222.5262623847701,149.07390388722936,197.39381688888136,292.37392940409666,goa
2013,10110,female,142.91440031838803,121.62634794039054,128.5008155135398,186.7673861600639,goa
2013,10110,male,63.765480438363376,38.51078453355194,55.20139786685385,123.12624902180814,goa
2013,10110,total,169.01583654293714,121.9976487640999,184.1600742829349,286.55461550059226,goa
2015,10110,female,140.98315476480445,130.6970951057296,114.34148472901978,147.41374233347594,goa
2015,10110,male,90.65481663486024,51.548873743706395,44.83262598276893,103.10683795026792,goa
2015,10110,total,209.58702520021183,166.93329553398655,150.3662413501954,227.5977855215095,goa
2017,10110,female,263.3739167103495,182.59072529756975,190.7656200317286,351.72480778552983,goa
2017,10110,male,124.24499095425956,131.62431738142743,94.756666174974,149.37579743585624,goa
2017,10110,total,340.51648881406095,361.1829643683303,395.36046547927634,470.1694625138809,goa
2019,10110,female,258.0374367427488,188.9122817209425,191.8582745726962,368.0264869137252,goa
2019,10110,male,183.18854567083673,154.54437055129293,120.4172132363426,206.84573669164095,goa
2019,10110,total,377.91887015317553,335.90829495058546,384.5675587196961,544.2315306871794,goa
1990,10180,female,27.15307333821445,26.008059455641767,33.734034732053885,42.51264815995149,goa
1990,10180,male,21.945821369320136,16.451597753524737,15.209371362967731,25.328174249559556,goa
1990,10180,total,45.36379739739595,40.58724923013456,50.095152448028614,65.74153308352074,goa
1990,30060,female,89.11545909008365,77.64657093950478,94.6356588097789,107.2127034416176,goa
1990,30060,male,124.29846889340492,88.35842760839704,115.38982591250456,159.34692024912783,goa
1990,30060,total,119.60123252763591,93.5578957523616,123.8808751928416,160.9580231838835,goa
1990,30420,female,33.97708420743728,29.74212940064469,31.228367449840057,36.36222984543333,goa
1990,30420,male,31.23117057290377,18.398356399319244,17.81392584106992,29.253371478582608,goa
1990,30420,total,57.15246492815203,34.46381556541798,34.74830147977793,53.71962204315983,goa
1993,10180,female,39.98942985627671,43.32444568016512,44.24185300264314,54.96170059688607,goa
1993,10180,male,32.0947677799465,26.31363517533122,23.131415048434334,33.73057450763274,goa
1993,10180,total,66.59548544286429,62.933468332777515,61.3538861321784,84.82756761609063,goa
1993,30060,female,153.9357349056054,138.8753872799414,137.79009804940526,140.9906008882664,goa
1993,30060,male,155.95141068851763,161.3171658128417,167.6856859115794,166.08875253172744,goa
1993,30060,total,206.40382556023724,204.67644479290595,231.45735466787875,226.11707024272147,goa
1993,30420,female,24.085132303433276,25.582973199826434,23.850231926335116,22.585042173262167,goa
1993,30420,male,23.30111091464879,22.807176470366645,17.460502987588292,19.56353202170468,goa
1993,30420,total,44.289081575838665,44.79724333211644,44.55265417854923,45.09941741208815,goa
1996,10180,female,55.85090778553346,58.61776807723972,74.32421221654326,84.40729179956075,goa
1996,10180,male,45.83020327782593,37.5168225515475,45.877769739076385,57.438531817701445,goa
1996,10180,total,90.62745136984888,79.22397311092817,117.12257315808206,138.80042867138374,goa
1996,30060,female,94.61502312737244,72.05742623128747,57.41761523121838,75.09450242276775,goa
1996,30060,male,74.39786174654246,76.84928031435186,72.28018317914035,72.4192544162363,goa
1996,30060,total,126.74024772118356,118.36490514117192,105.01597206359617,115.3445618703736,goa
1996,30420,female,57.98084085463037,58.92808022516866,65.9742740408501,59.43294833958672,goa
1996,30420,male,72.06680018885127,61.18366384396218,58.24639368688381,69.07767440311848,goa
1996,30420,total,110.15060480020156,108.43464668188584,132.8007017461785,125.99035004771272,goa
1999,10180,female,56.96321177583446,57.90304174261534,67.71941841135623,72.77866392066305,goa
1999,10180,male,47.3346079853343,30.668681209551305,32.431106952827896,53.90817638924715,goa
1999,10180,total,102.87075048157412,75.91615757130639,83.82410721549715,116.67942899610526,goa
1999,30060,female,72.20309118004869,62.41447199044447,62.869587963776176,78.10555522838396,goa
1999,30060,male,74.2606299964663,68.01388617170788,75.12183206731646,75.95838166327871,goa
1999,30060,total,95.29753851153816,83.27221309164551,98.39322739839533,112.68710433961996,goa
1999,30420,female,27.80967422845036,31.009952020835176,34.5942728856516,31.45873001034228,goa
1999,30420,male,41.641232960560274,41.18217559190868,36.83517986117363,38.58624552114405,goa
1999,30420,total,50.19917043587103,56.73993746319537,64.58903256317127,57.3234380588532,goa
2001,10180,female,91.55028925132328,73.85826904341623,76.38429736262606,120.69371585082231,goa
2001,10180,male,71.7671649453403,60.39977396094537,57.351858672659425,77.63020820635036,goa
2001,10180,total,151.3998610356674,133.32396365517235,142.59016538058114,186.26549255789675,goa
2001,30420,female,55.122817452678504,57.61611151867236,58.841839894654754,54.18683758226666,goa
2001,30420,male,59.522437953728414,59.134026917200025,57.435348132638715,56.86025824939753,goa
2001,30420,total,105.52593177111034,109.84356782248412,112.4012275936344,102.96494009891718,goa
2003,10180,female,98.37650168115172,101.73478006725556,102.02518185822495,112.5298064084178,goa
2003,10180,male,62.39401199557717,59.20237109069603,73.148921046684,83.9396448984406,goa
2003,10180,total,125.95317962768829,127.58731064827047,159.4881791560136,168.77238265954563,goa
2003,30060,female,166.2867084819979,131.97261772288317,122.35647341030293,163.05161583051037,goa
2003,30060,male,156.19758453001637,145.73190421016898,154.29105009282475,155.69341327402552,goa
2003,30060,total,232.6308660534502,210.5487033910196,234.51135686408995,259.4755291657669,goa
2003,30420,female,NA,15.74356934910984,14.705827900075349,NA,goa
2003,30420,male,24.324871977015565,22.89279471813451,21.791678752416093,24.765968040428422,goa
2003,30420,total,37.88364491880224,36.427476852944615,35.46567197243619,42.573017778897345,goa
2005,10180,female,88.93588622582882,91.87018939387546,117.10908169592024,125.44767338093804,goa
2005,10180,male,78.28472235381804,72.58026039443989,75.3750512977343,93.189028924551,goa
2005,10180,total,144.3241871076399,141.94509596523002,179.0158383076954,196.30547218572207,goa
2005,30060,female,189.2416478103683,146.88233265410145,130.868048605743,170.0596016066361,goa
2005,30060,male,150.964091259638,134.3231249300802,146.87198311834445,167.25318796031362,goa
2005,30060,total,246.84687468855353,222.05206122321,251.9956618037651,277.3222748393361,goa
2005,30420,female,42.50687577766163,42.263386433659974,35.763442604582544,36.2682612927224,goa
2005,30420,male,47.13395528868054,44.28834089520491,47.10712091707031,50.15604042617908,goa
2005,30420,total,73.32795464356583,73.0162050467511,67.48096897163344,68.05227659845582,goa
2007,10180,female,68.24545958499093,70.82796598408699,74.46401890892463,86.21238273182152,goa
2007,10180,male,62.81794006883277,51.218665457714195,57.463087776858075,79.12768763652086,goa
2007,10180,total,115.06710282993352,105.73690998441111,127.9420115180978,154.532679904327,goa
2007,30060,female,181.7731437696826,162.89419131051525,167.8481215192225,177.60209923768704,goa
2007,30060,male,160.16727622592052,137.34061085728663,134.88986933614046,153.6104136584174,goa
2007,30060,total,296.7761730342316,267.47813637307576,282.80781834518706,299.4131159830221,goa
2007,30420,female,110.73157090390686,109.36007654044104,103.78424798111624,113.94664914605492,goa
2007,30420,male,85.68126007974465,82.10526867362397,92.73214674387286,97.65097909229364,goa
2007,30420,total,147.4418721849595,141.7861070815867,171.50405329408645,192.2661224954612,goa
2009,10180,female,93.52938617723062,93.99846273028412,101.61575845652514,116.43950268884856,goa
2009,10180,male,74.9160049412598,63.01208795495065,73.60576684069576,92.88717572028044,goa
2009,10180,total,143.6668658149651,130.2051848519661,167.09157122599245,198.9371758002768,goa
2009,30060,female,39.50506349709764,43.143575866740406,55.79997381144477,60.8244115618172,goa
2009,30060,male,38.70938672257968,43.68979676804157,36.54726115158435,44.19402772224741,goa
2009,30060,total,65.70549815044188,68.05538011896633,76.54344624532307,96.08165394127332,goa
2009,30420,female,126.07392641839496,96.51029561974136,87.24801899073674,112.17778557341614,goa
2009,30420,male,111.84652994269462,105.68585891435944,107.7686328187145,112.3177901266595,goa
2009,30420,total,195.69332922187337,176.5345534197592,187.43196020868655,206.62872484680256,goa
2011,10180,female,75.47474359911045,78.24501235558702,97.6658600748137,104.81152343405844,goa
2011,10180,male,60.54072000293897,52.452206543200965,56.706160397027375,76.8384379451498,goa
2011,10180,total,109.54131759876746,98.6894321202991,133.3153864490276,160.33148248044844,goa
2011,30060,female,94.56192907324996,85.08629104710185,101.9000628742088,118.45649836905092,goa
2011,30060,male,120.0165549773692,99.44569589266489,98.08017691623093,124.24905628612748,goa
2011,30060,total,152.64545457721476,130.77449500993106,147.24991820547208,183.2573383641962,goa
2011,30420,female,58.882594062244515,53.96608202406714,65.47000114723504,77.76581953828808,goa
2011,30420,male,54.51990173569073,53.65556801861166,51.08169770121556,54.79507704180853,goa
2011,30420,total,107.42745820460064,109.550493990595,118.12749596521245,123.83827803110128,goa
2013,10180,female,67.15174974566304,61.93635301912272,58.68879296835702,81.0571050020004,goa
2013,10180,male,67.10956694128903,61.8409006359861,72.21751874319312,79.68338344066004,goa
2013,10180,total,122.15699838631056,117.04696636084935,124.16206811116356,150.00280084142116,goa
2013,30060,female,171.34683299890497,169.07553299575287,153.86979687607635,157.24052151187024,goa
2013,30060,male,134.61949517036246,109.56655905919558,117.3738769681028,138.08329576104134,goa
2013,30060,total,253.5559061670913,231.99700101433717,235.55314290690848,246.3693559811435,goa
2013,30420,female,79.89822270374194,75.54068973758514,89.68121084478392,93.53539360101313,goa
2013,30420,male,69.85236641910407,68.57833844675133,76.82431006332156,79.58580733017757,goa
2013,30420,total,118.92231409079474,117.87191161661792,163.86756386063666,163.5342137875795,goa
2015,10180,female,64.82990978869704,61.83779886792276,66.99222922923846,97.89726728142485,goa
2015,10180,male,57.49051551193776,48.85171296323574,62.79451215005963,82.08128102028763,goa
2015,10180,total,121.63376998250962,116.35388789329812,140.1780861299323,173.47083166106458,goa
2015,30060,female,98.8214233110078,95.19375224018373,119.6793622578302,127.23855860587074,goa
2015,30060,male,102.09762301304404,87.44141166153287,100.54273669418671,130.9969480105863,goa
2015,30060,total,152.0995970646295,142.74123269838717,194.9642437592977,219.20309138072287,goa
2015,30420,female,95.438723773048,88.52038307735398,97.57115790929244,102.7112535749118,goa
2015,30420,male,54.68112927777618,57.175848669765784,67.4157578435793,67.34999029790977,goa
2015,30420,total,133.48114054020303,137.80749618787115,160.76256970259192,154.41742630466547,goa
2017,10180,female,50.79570499835236,49.23254471972455,60.03300248244736,70.91591400721232,goa
2017,10180,male,57.96370308115912,50.11607706679872,66.43428694854173,87.10189097950595,goa
2017,10180,total,96.7801387493802,87.92692147569868,128.01771238751692,154.4156370597173,goa
2017,30060,female,172.63630555154717,153.22014181188618,158.70445531946373,171.4042051348407,goa
2017,30060,male,166.8612730062855,107.92163782522834,98.45752722316524,150.1022270862236,goa
2017,30060,total,256.11087857623505,220.67239733873907,244.41564484505588,275.8850919021036,goa
2017,30420,female,78.70995820230442,74.87089162536856,86.71424781580622,92.75134452051016,goa
2017,30420,male,69.50002266934139,68.6820494159932,76.56433819479386,76.63790308034696,goa
2017,30420,total,141.197180053962,137.87138505138063,155.64323694710637,158.9500236128545,goa
2019,10180,female,48.99124471219547,51.02266347469303,56.04967896757642,68.23806487397927,goa
2019,10180,male,57.84543527314924,48.73798962900199,57.354588598760614,75.10105737411749,goa
2019,10180,total,97.25233554530126,89.56467932939715,118.12107560118316,138.8978103213831,goa
2019,30060,female,159.027830554609,153.08733172922186,197.70723867548816,219.41284472915493,goa
2019,30060,male,218.53301097713404,159.65691498830776,154.3161808640985,225.93434822653256,goa
2019,30060,total,265.05605385708674,232.9396167983906,272.85359216745826,335.67625092791474,goa
2019,30420,female,65.3747954996737,72.07761810244996,85.27623900231148,81.89242792627977,goa
2019,30420,male,63.3295972234124,62.76422208903808,58.48948319416078,64.29056228016115,goa
2019,30420,total,115.65138768167267,120.7900772502338,138.98668922719946,143.4743945911574,goa
2021,30060,female,164.90357136920616,163.5050985509249,175.58629736999958,179.6335499734483,goa
2021,30060,male,215.88077916061837,168.38913442998242,165.0667122025066,226.15089300772587,goa
2021,30060,total,308.7946610434696,298.6599493574137,314.119069239967,341.3235277161203,goa
2021,30420,female,94.21591614358243,87.94544528737109,87.84666984460785,97.44410994599114,goa
2021,30420,male,109.79724051780128,106.16405871278944,104.52346489081856,109.26858482957871,goa
2021,30420,total,179.46684537097235,166.756441959467,182.46353831795503,200.2617966716153,goa
1990,10130,female,33.452044495302744,36.06643921309056,37.342484313659575,34.11092079311678,goa
1990,10130,male,31.063493793036105,15.982257982815328,14.56143945779478,29.521621775510702,goa
1990,10130,total,62.117899637434256,41.39507190727306,42.95040071458451,70.0336236162097,goa
1990,21720,female,87.45931703054079,84.0569035607571,66.65811193254774,76.73284194705013,goa
1990,21720,male,70.66721261473629,69.83762655762531,55.446785469828455,63.111225384500216,goa
1990,21720,total,119.02360074913562,122.03021268273864,94.25858532218888,101.10820083592915,goa
1993,10130,female,58.79058885072944,60.04238100836258,62.69781324875599,65.37215215411642,goa
1993,10130,male,36.85360262006809,25.232437051876584,24.465372453712924,39.43241586173046,goa
1993,10130,total,100.3525820569887,71.60150732893413,70.84821212524763,101.24200272756082,goa
1993,21720,female,135.44530342700173,86.35191012636506,74.2642503013326,111.91314980984156,goa
1993,21720,male,103.8054194517902,86.02393771523896,95.71637320346916,112.4239104078644,goa
1993,21720,total,184.8972084098432,115.57224912070458,112.9897690934661,159.744769500093,goa
1996,10130,female,97.93141739030328,94.1088123579457,83.43448951907317,98.48522630959776,goa
1996,10130,male,72.38982970071554,55.75845757800971,49.159089616629075,64.25656818708114,goa
1996,10130,total,147.91030462645116,131.21762527457966,125.09166514551504,147.04044489194334,goa
1996,21720,female,56.56104267201844,52.58943663153446,47.56613209912987,58.538557085446136,goa
1996,21720,male,29.934450629524505,25.258515206039934,23.41401025347535,28.347040064742096,goa
1996,21720,total,46.31020248704112,38.55051434606637,35.24750990849769,44.48071658449312,goa
1999,10130,female,146.70268035270837,108.19651464973822,96.77632498592293,120.20397263445192,goa
1999,10130,male,83.29186353781579,39.99456111953859,39.32148664738281,85.15762700346656,goa
1999,10130,total,179.49685988237331,82.83761962124596,85.38492134389483,172.83047556330425,goa
1999,21720,female,153.063622475269,67.77412981380763,58.97083852339701,126.56258789823538,goa
1999,21720,male,107.84389039402322,47.77916069481351,48.2594802029877,115.44347383976462,goa
1999,21720,total,207.6540028496392,69.04945152065125,65.88198940043023,189.589766994941,goa
2001,10130,female,143.2164727018977,97.86291185457476,103.69925170449312,156.1957199364334,goa
2001,10130,male,141.6936207204903,104.0819269828273,97.33422431539196,144.44981377191525,goa
2001,10130,total,245.21364318575715,195.0561162173533,223.68120057791864,272.7749274763425,goa
2001,21720,female,98.91276244625638,90.5766992645796,84.55339945887111,100.33465860178768,goa
2001,21720,male,107.71966838800734,101.61672532910782,85.30347566784755,101.66927528501547,goa
2001,21720,total,137.51657169451445,122.88534663334818,105.83935534219408,127.78495094360072,goa
2003,10130,female,75.16649130372933,70.77779694999433,77.82576258951276,98.51279450672529,goa
2003,10130,male,91.71196834780996,78.34198761872965,73.03100177833433,104.3437282282904,goa
2003,10130,total,152.21538912805022,135.25466478272017,142.41783719525992,199.878532554341,goa
2003,21720,female,113.10864235710164,43.8605098335445,37.2666804265274,140.82193766849687,goa
2003,21720,male,119.31171161576836,70.26314953914054,66.45123587190018,122.6705767848514,goa
2003,21720,total,219.21696389895564,68.75939553894939,57.91091329975714,213.1224841544264,goa
2005,10130,female,116.8072122321668,98.96999348706794,80.27880919832847,99.2767454494114,goa
2005,10130,male,73.46695169408983,75.11078489810136,69.58918149868367,75.66522151109342,goa
2005,10130,total,168.34479778620263,174.35431046610904,147.41012608606346,153.17525858265122,goa
